Canada	加拿大
pronunciation	发音
grammar	语法
translate	翻译
American	美国人（的）
Australian	澳大利亚人（的）
pronounce	发音
greet	欢迎；迎接
European	欧洲人（的）
kiss	吻
cheek	脸颊
nod	点头
thumbs-up	翘拇指；很棒
polite	有礼貌的
lip	嘴唇
rude	粗鲁的
Italian	意大利人（的）
prepare	准备
Amazon	亚马逊河
rainforest	（热带）雨林
Turkey	土耳其
Nile	尼罗河
Sahara	撒哈拉沙漠
Cairo	开罗
pride	引以自豪的事物/人
million	百万
square	广场；正方形
Rocky	落基山脉
Spanish	西班牙人（的）
Mexican	墨西哥人（的）
schoolyard	校园
attention	注意
rubbish	垃圾
garbage	垃圾
pollution	污染
explain	解释
reduce	减少
reusable	可重复利用的
least	最少/小的（地）
pollute	污染
skip	跳绳
packaging	包装
leaky	渗漏的
waste	浪费
litre	公升
sink	水槽
electricity	电
shut	关上
sort	分类；整理；类型
empty	弄空；空的
metal	金属
plastic	塑料（的）
recycle	回收再用
amount	数量
litter	垃圾；乱扔
leak	渗漏
tap	龙头；阀门
beer	啤酒
truck	货车
recycling	回收利用
factory	工厂
unlike	不像
bee	蜜蜂
ant	蚂蚁
dove	鸽子
die	死亡
dead	死的
species	物种
respect	尊重
used	用过的
divide	分开
pile	大量
seat	座位
lid	盖子
ton	吨
duty	责任；义务
九年级
stomach	胃部
regret	懊悔
fever	发烧
pale	苍白的；浅色的
examination	检查；考试
pain	疼痛
pardon	原谅
X-ray	X	光
dentist	牙医
refuse	拒绝
toothache	牙痛
rotten	腐烂的
fortunately	幸运地
headset	（头戴式）耳机
aching	疼痛的
German	德国（人）的；德语
wolf	狼
grain	谷物；粮食
vitamin	维生素
mineral	矿物质
fibre	纤维素
corn	玉米
protein	蛋白质
bean	豆子
Asian	亚洲（人）的
soy	大豆
calcium	钙
bone	骨头
yogurt	酸奶
contain	包含
balanced	均衡的
diet	日常食物
include	包含
smoke	烟；吸烟
harmful	有害的
disease	疾病
lung	肺
harm	伤害
breathe	呼吸
public	公开的
law	法律
cigarette	香烟
whenever	无论何时
risk	风险
somebody	某人
damage	损害
unable	不能的
dare	敢于
wheelchair	轮椅
control	控制
telephone	电话
hers	她的
cheer	欢呼（声）
kick	踢
disabled	残疾的
focus	集中；焦点
pity	同情
appendicitis	阑尾炎
appendix	阑尾；附录
sleepy	困倦的
mention	提到
meaning	意义
dialogue	对话
successful	成功的
missing	缺失的
survey	调查
neighbour	邻居
universe	宇宙
lifetime	一生
solve	解决
theory	理论
relativity	相对性
Switzerland	瑞士
pioneer	先锋
Princeton	普林斯顿
nuclear	核能的
weapon	武器
conclusion	结论
false	错误的
peanut	花生
hybrid	杂交的（植/动物）
variety	变化
introduction	采用；引进
leader	领袖
production	生产
produce	生产
super	超级的
planetary	行星的
writer	作家
educator	教育家
blind	失明的
deaf	失聪的
illness	疾病
ability	能力
progress	进展；进步
community	社区
greatly	非常
graduate	毕业
Toronto	多伦多
remain	保持不变
anti-	反对
decision	决定
aid	帮助
worst	最糟糕的
condition	条件
operate	做手术
government	政府
medical	医疗的
crossword	纵横游戏
puzzle	智力游戏
based	以……为基础
whom	谁
anybody	任何人
chemistry	化学
safety	安全
careful	小心的
decorate	装饰
hang	悬挂
ceiling	天花板
lie	平躺；说谎；谎言
serious	严肃的
ambulance	救护车
necessary	必须的
accident	意外；事故
town	城镇
reporter	记者
roll	滚动
fault	缺点；过错
icy	结满冰的
ugly	难看的
shoulder	肩膀
wound	伤口
recover	恢复
expect	期待
helmet	头盔
sudden	突然（的）
blood	血
knee	膝盖
bleed	流血
sharp	锋利的
rock	岩石
stick	插入
scary	恐怖的
goodness	善良；美德
stranger	陌生人
careless	粗心的
prevent	阻止；预防
certain	某些
themselves	他/她/它们自己
baking	烘焙
soda	苏打
salt	盐
scissors	剪刀
knife	刀
poison	毒药
heat	高温；加热
burn	燃烧
bathtub	浴缸
slip	滑到
earthquake	地震
calm	镇静的
object	物体；目标
system	系统
survival	生存
rule	规则
branch	树枝
training	训练
compare	比较
passage	章节；段落
limit	限制
format	格式
rhyme	韵脚；押韵
although	尽管；虽然
effort	精力；努力
fat	脂肪；胖的
aloud	出声地
line	路线；（诗）行
text	正文；文字材料
poet	诗人
single	单一的
screen	屏幕
hum	发嗡嗡声
stretch	伸展
liquid	液体；清澈的
state	陈述；说明
noun	名词
adjective	形容词
express	表达
fable	寓言
woodcutter	伐木工
axe	斧子
dive	跳水
admit	承认；赞同
silver	银（的）
policy	原则；政策
loud	大声的
frightened	受惊的
board	木板
awake	醒着的
musician	音乐家
perhaps	也许
peek	偷窥
softly	轻轻地
scene	场景；景色
crawl	爬行
selfish	自私的
knock	敲打
spread	扩展
neck	脖子
wicked	邪恶的
fairy	小精灵
tale	童话；故事
character	人物；特点
plot	情节
humorous	幽默的
experiment	实验
jar	罐子
upside	上部
pour	倾倒
correct	正确的
scientific	科学的
method	方法
raincoat	雨衣
force	力量；迫使
pressure	压力；压强；挤压
conclude	得出结论；断定
holder	支托物；持有者
shallow	浅的
lighter	打火机；点火器
match	火柴；匹配
examine	检查
oxygen	氧气
